variable,description
B_OPR_CEASED,Yes/No if business has ceased operation
B_CEASED_MONTH,Month the business ceased operation
B_CEASED_DATE_ YEAR ,Year the business ceased operation
B_PARENTCO_FOREIGN,Yes/No if business is a majority-owned subsidiary of a foreign company
B_PARENTCO_DOMESTIC,Yes/No if business is more than 50% owned by another U.S. company
B_OWNED_GOVT_TRIBAL,Yes/No if business is owned by a government or tribal entity
B_ANYONE_10_PCT,Yes/No if one person owns 10% or more of the company
B_OWNERNUM,Number of owners of the business
B_EMPNUM_W2_OWNER ,Number of owners who received a W2 from this business
B_EMPNUM_W2_NON_OWNER ,Number of employees who received a W2 from this business
B_EMPNUM_W2_TOTAL,Total number of W2 paid employees and owners
B_EMPNUM_PAID_OTHER_WAY ,Number of owners and employees who received a W2 from this business
B_EMPNUM_UNPAID,Number of individuals who did work for the business but were unpaid
B_SALES_TOT ,"Amount of worldwide and domestic sales, revenue, and grants"
B_SALES_TOT_US,"Amount of sales, revenue, and grants from domestic operations"
B_SALES_PCT_GOODS,"Percent of domestic sales, revenues, and grants coming from selling goods to customers"
B_SALES_PCT_SERVICE,"Percent of domestic sales, revenues, and grants coming from selling services to customers"
B_SALES_PCT_LICENSE,"Percent of domestic sales, revenues, and grants coming from selling services to customers"
B_SALES_PCT_GRANT,"Percent of domestic sales, revenues, and grants coming from selling services to customers"
B_SALES_PCT_OTH,"Percent of domestic sales, revenues, and grants coming from selling services to customers"
B_SALES_PCT_US_TOT,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions"
B_SALES_PCT_OTH_WIN,Total percent entered from domestic sales questions
B_REV ,Types of customers that accounted for 10% or more of total sales
B_TYPS_WRKS,Types of workers that were used by the business
B_OPR_FRANCHISED ,Yes/No if all or part of the business operates as a franchise
B_CRDAP,Yes/No if the business submitted an application for new credit
B_CRDSRC,Other sources of credit not listed
B_CRDSRC_OTHER_WIN,Write-in of what lenders the business applied for new credit with 
B_CRDAMT,Total amount of credit that was requested and received 
B_WORKHOME ,Yes/No if the business allowed any employees to work from home
B_WORKHOME_PCT_NEVER,Percent of workers that never worked from home 
B_WORKHOME_PCT_OCCASIO,Percent of workers that worked from home less than one day per week
B_WORKHOME_PCT_ONE ,Percent of workers that worked from home one day per week 
B_WORKHOME_PCT_TWO,Percent of workers that worked from home two to four days per week
B_WORKHOME_PCT_FIVE ,Percent of workers that worked from home five or more days per weTotal percent entered from work from home questionsek
B_WORKHOME_PCT_TOTAL,Total percent entered from work from home questions
B_WORKHOME_FCT,List of factors that limit the ability of the mployees to work from home
B_WORKHOME_FCT_WI,Write-in of whether the following factors limited the ability of employees to work from home
RESP_BUS_DESC,Primary business activity
O1_NAME_TITLE,Name of first owner
O1_PCT_OWNED ,Percent owned by first owner
O2_NAME_TITLE,Name of second owner
O2_PCT_OWNED,Percent owned by second owner
O3_NAME_TITLE,Name of third owner
O3_PCT_OWNED ,Percent owned by third owner
O4_NAME_TITLE,Name of fourth owner
O4_PCT_OWNED ,Percent owned by fourth owner
O1_SEX ,Sex of first owner
O1_GENDER ,Sex of first owner
O1_GENDER_WIN,Different gender term
O1_HISP,"Whether the first owner is Hispanic, Latino, or Spanish"
O1_HISP_OTH_WIN,"Another Hispanic, Latino, or Spanish origin not listed"
O1_RACE,Race of first owner
O1_RACE_WHITE_WIN,Race of first owner
O1_RACE_BLACK_WIN,Race of first owner
O1_RACE_AIAN_WIN,Race of first owner
O1_RACE_OTH_AS_WIN,Race of first owner
O1_RACE_OTH_PAC_WIN,Race of first owner
O1_VET ,Yes/No if the first owner has served in the military
O1_VET_DISABLED,Yes/No if the first owner is disabled as a result of military service
O1_VET_SPECIFY,Characteristics of first owner's military service
O1_ACQ_BUS_YR,Year that the first owner initially acquired this business
O1_ACQ_BUS_YR_DK  ,Owner 1 does not know when initially acquired ownership of this business
O1_PRIM_SRC_INCOM,"Yes/No if the business provided the first owner's primary source of persStatus of the previous business, other than this one, that the first owner startedonal income"
O1_OTH_BUS,"Status of the previous business, other than this one, that the first owner started"
O1_OTH_BUS_WIN,Other status of the previous business Owner 1 started most recently
O1_EDUC ,Highest degree achieved by the first owner prior to owning this business
O1_MAJOR,Field of the highest degree achieved by the first owner prior to owning this business
O1_MAJOR_OTHSCI_WIN,Other science and engineering related fields that are not listed
O1_MAJOR_NONSCI_WIN,Other non-science and engineering related fields that are not listed
O1_AGE ,Age of first owner
O1_US_BORN,Yes/No if first owner was born in the US
O1_US_CITIZEN,Yes/No if the first owner is a citizen of the US
O1_OWNER_DISABLE,Disability status of the first owner
O1_REASON_OWNBOSS ,Reason for owning business: Being their own boss
O1_REASON_FLEXIBLEHRS,Reason for owning business: Flexible hours
O1_REASON_BALANCE,Reason for owning business: Balancing work and family
O1_REASON_INCOME,Reason for owning business: Opportunity for greater income
O1_REASON_IDEAS,Reason for owning business: Best avenue for ideas/goods/services
O1_REASON_FINDJOB,Reason for owning business: Unable to find employment
O1_REASON_WORKFORSELF,Reason for owning business: Working for someone else was unappealing
O1_REASON_STARTBUS,Reason for owning business: Always wanted to start a business
O1_REASON_ROLEMODEL,Reason for owning business: Entrepreneurial friend or family was a role model
O1_REASON_FAMBUS ,Reason for owning business: Carrying on family business
O1_REASON_COMM  ,Reason for owning business: Helping community 
O1_REASON_OTHER,Reason for owning business: Other
O1_REASON_OTHER_WIN ,Reason for owning business: Other
B_FAMILY_OWNED ,Yes/No if two or more members of one family owned the majority of this business
B_JOINTLY_OWNED,Yes/No if spouses or unmarried partners jointly owned this business
B_OPR ,Business operated equally by both spouses or unmarried partners
B_INNOV_GOODS,Whether the business introduced new or improved goods
B_INNOV_SERV,Whether the business introduced new or improved services
B_INNOV_SOURCE,Who developed the new or improved goods or services
B_IMPROCESS_MAN ,Whether the business introduced new or improved methods for producing goods or providing services
B_IMPROCESS_LOG ,"Whether the business introduced new or improved methods for logistics, delivery or distribution methods"
B_IMPROCESS_MARKET ,Whether the business introduced new or improved methods for marketing methods
B_IMPROCESS_INFO,Whether the business introduced new or improved methods for information and communication systems
B_IMPROCESS_ADMIN ,Whether the business introduced new or improved methods for administration and management activities
B_IMPROCESS_PROD ,Whether the business introduced new or improved methods for product and business process development activities
B_IMPROCESS_DEV ,Who developed new or improved business processes 
B_RD_CREATE,Yes/No if business engaged in research and development
B_RD_ALTER_DESIGN,Yes/No if business engaged in engineering and design activities
B_RD_MRKT_RESRCH,Yes/No if business engaged in marketing and brand equity activities
B_RD_IP,Yes/No if business engaged in IP related activities
B_RD_TRAINING,Yes/No if business engaged in employee training
B_RD_DATA ,Yes/No if business engaged in software development and database activities
B_RD_MACHINE,"Yes/No if business engaged in acquisition of machinery, equipment, or other tangible assets"
B_RD_MANAGE,Yes/No if business engaged in management related to innovation
B_COOP_RD ,Yes/No if business cooperated with other businesses or organizations on R&D
B_COOP_OTH,Yes/No if business cooperated with other businesses or organizations on non-R&D innovation
B_COOP_OTH_BUS,Yes/No if business cooperated with other businesses or organizations on any other business activities
B_COOP,"Consultants, commercial labs, or private research institutes outside the business group "
B_COOP,"Suppliers of equipment, materials, components, or software outside your business group "
B_COOP,Companies that are the clients or customers outside the business group
B_COOP,Companies that are your competitors outside the business group 
B_COOP,Other companies outside the business group 
B_COOP,Companieswithin the business group 
B_COOP,Universities or other higher education institutions 
B_COOP,Government or public research institutes 
