name,definition
BENEFIT_HEALTH,Employer's cost for health insurance
BENEFIT_HEALTH_PY,Employer's cost for health insurance  Prior Year
BENEFIT_OTH,Employer's Cost for other benefits
BENEFIT_OTH_PY,Employer's Cost for other benefits   Prior Year
BENEFIT_PENSION_BEN,Employer's Cost for defined benefit pension plans
BENEFIT_PENSION_BEN_PY,Employer's Cost for defined benefit pension plans  Prior Year
BENEFIT_PENSION_CON,Employer's Cost for defined contribution pension plans
BENEFIT_PENSION_CON_PY,Employer's Cost for defined contribution pension plans  Prior Year
COST_CONTRACT,Contract work done for you by others
COST_MAT_TOT,"Cost of Materials,  Total"
ELEC_GEN_KWH,Quantity of generated electricity
ELEC_PRCH_KWH,Quantity of purchased electricity
ELEC_SOLD_KWH,Quantity of electricity sold or transferred to other domestic reporting units
EMP_AVG_PRDWRK_PY,Average number of annual production workers at this establishment   Prior Year
HOURS_TOT_M_PY,"Production Worker Hours,  Total Prior Year"
PRCH_ADVERT,Purchased advertisments
PRCH_COMPUTER_OTHEQ,Expensed computer hardware and other equipment
PRCH_DATAPROC,Data processing and other purchased computer services
PRCH_EXSOFT,"Purchased prepackaged, custom-coded or vendor-customized software"
PRCH_OTHEXPS_WRTIN,"All other purchased services, write-in description"
PRCH_PROFTECH,Purchased professional and technical services
PRCH_REFUSE,"Water, sewer, refuse removal, and other non-electric utility payments"
PRCH_REPAIR,Purchased repairs and maintenance to buildings and/or machinery and equipment
PRCH_TAX,Governmental taxes and licensing fees
PRCH_TEMPSTAF,Purchased services for temporary staff and leased employees  (Professional Employer Organizations and staffing agencies for personnel)
PRCH_TOT,Total Purchased Services
RCPT_TRANSFER_PY,Value of products shipped to other domestic plants of your company for further processing  Prior Year
REPORTING_EXAMPLE_14,Awaiting Update
BENEFIT_HEALTH,Employer's cost for health insurance
BENEFIT_HEALTH_PY,Employer's cost for health insurance  Prior Year
BENEFIT_OTH,Employer's Cost for other benefits
BENEFIT_OTH_PY,Employer's Cost for other benefits   Prior Year
BENEFIT_PENSION_BEN,Employer's Cost for defined benefit pension plans
BENEFIT_PENSION_BEN_PY,Employer's Cost for defined benefit pension plans  Prior Year
BENEFIT_PENSION_CON,Employer's Cost for defined contribution pension plans
BENEFIT_PENSION_CON_PY,Employer's Cost for defined contribution pension plans  Prior Year
EMP_AVG_PRDWRK_PY,Average number of annual production workers at this establishment   Prior Year
HOURS_TOT_M_PY,"Production Worker Hours,  Total Prior Year"
RCPT_TRANSFER_PY,Value of products shipped to other domestic plants of your company for further processing  Prior Year
CITY,City
NAME1,Company Name
NAME2,Company Secondary Name
STREET,Street
BENEFIT_HEALTH,Employer's cost for health insurance
BENEFIT_HEALTH_PY,Employer's cost for health insurance  Prior Year
BENEFIT_OTH,Employer's Cost for other benefits
BENEFIT_OTH_PY,Employer's Cost for other benefits   Prior Year
BENEFIT_PENSION_BEN,Employer's Cost for defined benefit pension plans
BENEFIT_PENSION_BEN_PY,Employer's Cost for defined benefit pension plans  Prior Year
BENEFIT_PENSION_CON,Employer's Cost for defined contribution pension plans
BENEFIT_PENSION_CON_PY,Employer's Cost for defined contribution pension plans  Prior Year
