,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Cosine Score,Jaccard Score,Actual MDR's Variable
0,CERT_PHONE_NUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Contact Information: Phone,Contact Information: Phone,100.00%,100.00%,100.00%,CERT_PHONE_NUM
1,CERT_NAME_TXT,RESP_CONTACT_NAME ,Contact Information: Name,Contact Information: Name,100.00%,100.00%,100.00%,CERT_NAME_TXT
2,CERT_TITLE_TXT,"
RESP_TITLE   ",Contact Information: Title,Contact Information: Title,100.00%,100.00%,100.00%,CERT_TITLE_TXT
3,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,Contact Information: Extension,Contact Information: Extension,100.00%,100.00%,100.00%,CERT_EXTENSION_NUM
4,CAPEX_CO_VAL,TCPEX,Total Capital Expenditures for Company,Total capital expenditures,86.29%,88.28%,75.00%,CAPEX_TOT_VAL
5,CAPEX_USED_TOT_DVAL,TCPEX,Capital Expenditures: All used - total,Total capital expenditures,85.32%,87.14%,75.00%,CAPEX_TOT_VAL
6,CAPEX_NEW_TOT_DVAL,TCPEX,Capital Expenditures: All new - total,Total capital expenditures,85.03%,86.80%,75.00%,CAPEX_TOT_VAL
7,EXPS_TOT_VAL,B_WORLDEXP_TOTAL ,Total Operating Expenses,Total worldwide operating expenses,83.91%,85.49%,75.00%,EXPS_WORLD_TOT_VAL
8,OWN_NAME,O1_NAME_TITLE,Owner name.,Name of first owner,83.72%,80.85%,100.00%,OWNER1_NAME
9,CAPEX_TOT_DVAL,TCPEX,Capital Expenditures: All capex - total,Total capital expenditures,83.10%,84.53%,75.00%,CAPEX_TOT_VAL
10,CAPEX_OTH_NEW_VAL,TCPEX,Capital Expenditures: Other new - total,Total capital expenditures,82.68%,84.04%,75.00%,CAPEX_TOT_VAL
11,CERT_EMAIL_TXT,RESP_EMAIL  ,Contact Information: E-mail,Contact Information: Email,81.44%,86.99%,50.00%,CERT_EMAIL_TXT
12,CAPEX_OTH_USED_VAL,TCPEX,Capital Expenditures: Other used - total,Total capital expenditures,81.30%,82.41%,75.00%,CAPEX_TOT_VAL
13,CAPEX_OTH_NEW_WRTIN_TXT,TCPEX,"Capital Expenditures: Other new - total, specify",Total capital expenditures,80.90%,84.59%,60.00%,CAPEX_TOT_VAL
14,CAPEX_OTH_TOT_DVAL,TCPEX,Capital Expenditures: Other new & used - total,Total capital expenditures,79.83%,83.32%,60.00%,CAPEX_TOT_VAL
15,CAPEX_MACH_OTH,TCPEX,"Capital Expenditures, Others",Total capital expenditures,79.53%,81.80%,66.67%,CAPEX_TOT_VAL
16,CAPEX_OTH_USED_WRTIN_TXT,TCPEX,"Capital Expenditures: Other used - total, specify",Total capital expenditures,79.29%,82.69%,60.00%,CAPEX_TOT_VAL
17,CAPEX_NEW_BUILD,B_EXPCOST_BLDG,"Capital Expenditures, New Buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,78.73%,82.04%,60.00%,CAPEX_RD_OPS_BLDG_VAL
18,CAPEX_NEW_TOT,B_EXPCOST_BLDG,"Capital Expenditures, New Buildings and Machinery Total",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,77.32%,83.41%,42.86%,CAPEX_RD_OPS_BLDG_VAL
