,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Actual MDR's Variable
0,CERT_NAME_TXT,RESP_CONTACT_NAME ,Contact Information: Name,Contact Information: Name,100.00%,CERT_NAME_TXT
1,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,Contact Information: Extension,Contact Information: Extension,100.00%,CERT_EXTENSION_NUM
2,CERT_PHONE_NUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Contact Information: Phone,Contact Information: Phone,100.00%,CERT_PHONE_NUM
3,CERT_TITLE_TXT,"
RESP_TITLE   ",Contact Information: Title,Contact Information: Title,100.00%,CERT_TITLE_TXT
4,CAPEX_CO_VAL,TCPEX,Total Capital Expenditures for Company,Total capital expenditures,88.30%,CAPEX_TOT_VAL
5,CAPEX_USED_TOT_DVAL,TCPEX,Capital Expenditures: All used - total,Total capital expenditures,87.10%,CAPEX_TOT_VAL
6,CERT_EMAIL_TXT,RESP_EMAIL  ,Contact Information: E-mail,Contact Information: Email,87.00%,CERT_EMAIL_TXT
7,CAPEX_NEW_TOT_DVAL,TCPEX,Capital Expenditures: All new - total,Total capital expenditures,86.80%,CAPEX_TOT_VAL
8,EXPS_TOT_VAL,B_WORLDEXP_TOTAL ,Total Operating Expenses,Total worldwide operating expenses,85.50%,EXPS_WORLD_TOT_VAL
9,CAPEX_OTH_NEW_WRTIN_TXT,TCPEX,"Capital Expenditures: Other new - total, specify",Total capital expenditures,84.60%,CAPEX_TOT_VAL
10,CAPEX_TOT_DVAL,TCPEX,Capital Expenditures: All capex - total,Total capital expenditures,84.50%,CAPEX_TOT_VAL
11,CAPEX_OTH_NEW_VAL,TCPEX,Capital Expenditures: Other new - total,Total capital expenditures,84.00%,CAPEX_TOT_VAL
12,CAPEX_NEW_TOT,B_EXPCOST_BLDG,"Capital Expenditures, New Buildings and Machinery Total",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,83.40%,CAPEX_RD_OPS_BLDG_VAL
13,CAPEX_OTH_TOT_DVAL,TCPEX,Capital Expenditures: Other new & used - total,Total capital expenditures,83.30%,CAPEX_TOT_VAL
14,CAPEX_TOT,B_EXPCOST_BLDG,"Capital Expenditures, New and Used Buildings and Machinery Total",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,83.20%,CAPEX_RD_OPS_BLDG_VAL
15,CAPEX_OTH_USED_WRTIN_TXT,TCPEX,"Capital Expenditures: Other used - total, specify",Total capital expenditures,82.70%,CAPEX_TOT_VAL
16,CAPEX_OTH_USED_VAL,TCPEX,Capital Expenditures: Other used - total,Total capital expenditures,82.40%,CAPEX_TOT_VAL
17,CAPEX_NEW_BUILD,B_EXPCOST_BLDG,"Capital Expenditures, New Buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,82.00%,CAPEX_RD_OPS_BLDG_VAL
18,CERT_WEBSITE_TXT,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Contact Information: Website,Contact Information: Phone,81.90%,CERT_PHONE_NUM
19,CAPEX_MACH_OTH,TCPEX,"Capital Expenditures, Others",Total capital expenditures,81.80%,CAPEX_TOT_VAL
20,CAPEX_BUILD,B_EXPCOST_BLDG,"Capital Expenditures, New and Used Buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,81.60%,CAPEX_RD_OPS_BLDG_VAL
21,OWN_NAME,O1_NAME_TITLE,Owner name.,Name of first owner,80.90%,OWNER1_NAME
22,CAPEX_NEW_NONHWY_MACH,B_EXPCOST_BLDG,"Capital Expenditures, New buildings, structures, machinery and equipment, and job-site vehicles (Include New construction spending, software, computers, and peripherals.",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,80.60%,CAPEX_RD_OPS_BLDG_VAL
23,CLASS_HOIND_NO,B_REV ,"Class of Customer,  Were 10 percent or more of your sales to household consumers and individual users in the past 12 months?",Types of customers that accounted for 10% or more of total sales,80.40%,CUST_TYPE_10_PCT_SALES_CHKBOX
24,CAPEX_USED_TOT,B_EXPCOST_BLDG,"Capital Expenditures, Used  Buildings and Machinery Total",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,80.40%,CAPEX_RD_OPS_BLDG_VAL
25,CAPEX_BUILD_NEW_VAL,B_EXPCOST_BLDG,Capital Expenditures: New buildings,R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,79.90%,CAPEX_RD_OPS_BLDG_VAL
26,CAPEX_NEW_NONHWY_BUILD,B_EXPCOST_BLDG,"Capital Expenditures, New Non Highway Buildings",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,79.60%,CAPEX_RD_OPS_BLDG_VAL
27,CAPEX_BUILD_VAL,B_EXPCOST_BLDG,Capital Expenditures: New and Used buildings,R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,78.90%,CAPEX_RD_OPS_BLDG_VAL
28,FUNDS_DEV_TOT,B_RDFUND_TOT,"Source of Research and Development Funds,  Total",Total R&D funds,78.90%,FUNDS_RD_TOT_DVAL
29,COST_CONMAT_TOT,B_WORLDEXP_TOTAL ,Total Operating Expenses paid,Total worldwide operating expenses,78.90%,EXPS_WORLD_TOT_VAL
30,INCOM_U_INSTAL_TOT_PCT,B_CRDAMT,"Installment credit, Total",Total amount of credit that was requested and received ,78.80%,CREDIT_AMT_RECEIVED_STAT
31,CAPEX_NEW_MACH,B_EXPCOST_EQUIP,"Capital Expenditures, New Machinery",R&D capital expenditures for equipment,78.50%,CAPEX_RD_OPS_EQUIP_VAL
32,RD_VAL,B_RDEXP_FOR ,Company's worldwide expenses for research and development,Amount of international R&D costs,78.30%,EXPS_RD_FOREIGN_VAL
33,CAPEX_MACH_NEW_VAL,B_EXPCOST_EQUIP,Capital Expenditures: New machinery,R&D capital expenditures for equipment,78.30%,CAPEX_RD_OPS_EQUIP_VAL
34,CAPEX_OTHMACH_VAL,B_EXPCOST_EQUIP,Capital Expenditures: Machinery - all other,R&D capital expenditures for equipment,78.20%,CAPEX_RD_OPS_EQUIP_VAL
35,CAPEX_MACH,TCPEX,"Capital Expenditures, New and Used Machinery",Total capital expenditures,78.20%,CAPEX_TOT_VAL
36,CAPEX_BUILD_TOT_DVAL,B_EXPCOST_BLDG,Capital Expenditures: New & used buildings,R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,78.10%,CAPEX_RD_OPS_BLDG_VAL
37,CAPEX_MACH_VAL,B_EXPCOST_EQUIP,Capital Expenditures: New and Used machinery,R&D capital expenditures for equipment,77.60%,CAPEX_RD_OPS_EQUIP_VAL
