,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score
0,CAPEX_TOT,CAPEX_WW_PPE_VAL,"Capital Expenditures, New and Used Buildings and Machinery Total","Expenditures: property, plant, and equipment",85.70%
1,CAPEX_USED_TOT,CAPEX_WW_PPE_VAL,"Capital Expenditures, Used  Buildings and Machinery Total","Expenditures: property, plant, and equipment",85.50%
2,RD_VAL_LT3MIL_ARCHIVE,EXPS_WORLD_RD_VAL,Company's worldwide expenses for research and development,Worldwide R&D expense,85.20%
3,EXPS_CON_PCT_OTH,CAPEX_WW_TOT_VAL,"Expenditures incurred,  Other",Expenditures: total,84.20%
4,EXPS_CON_PCT_NEW_OTH,CAPEX_WW_PPE_VAL,"Expenditures incurred,  Type of Construction, Other","Expenditures: property, plant, and equipment",82.90%
5,SURV_YEAR_STAT,REFPER_CAL_YEAR_STAT,Reporting Period Type,Reporting period,82.50%
6,CAPEX_NEW_TOT,CAPEX_WW_PPE_VAL,"Capital Expenditures, New Buildings and Machinery Total","Expenditures: property, plant, and equipment",82.50%
7,CAPEX_MACH_OTH,CAPEX_WW_PPE_VAL,"Capital Expenditures, Others","Expenditures: property, plant, and equipment",82.30%
8,EXPS_CON_PCT_NEW_SALE,CAPEX_WW_PPE_VAL,"Expenditures incurred, Type of Construction, Sale","Expenditures: property, plant, and equipment",81.60%
9,CAPEX_USED_BUILD,CAPEX_WW_PPE_VAL,"Capital Expenditures, Used buildings, structures, machinery and equipment_x000D_
(Include USED automobiles, trucks, etc., major repairs and improvements and software, computers, and peripherals.)","Expenditures: property, plant, and equipment",81.50%
10,ASSET_RETIRED,ASSET_DA_PPE_VAL,"Depreciable assets sold, retired, scrapped, destroyed, etc.   Total Buildings and Machinery","Depreciation: property, plant, and equipment",81.30%
11,CAPEX_USED_MACH,CAPEX_WW_PPE_VAL,"Capital Expenditures, Used Machinery","Expenditures: property, plant, and equipment",81.20%
12,CAPEX_MACH,CAPEX_WW_PPE_VAL,"Capital Expenditures, New and Used Machinery","Expenditures: property, plant, and equipment",80.90%
13,DISCONTINUE_DATE,OPSTAT_CEASED_DATE,Corporation status - Discontinued date,Date your company ceased operations,80.90%
14,EXPS_CON_PCT_MAIN,CAPEX_WW_PPE_VAL,"Expenditures incurred, Maintenance and repair","Expenditures: property, plant, and equipment",80.60%
15,ASSET_GROSS_PPE_VAL,ASSET_NET_WW_PPE_VAL,"Property, plant, and equipment","Assets: property, plant, and equipment",80.50%
16,EXPS_CON_PCT_NEW_OWN,CAPEX_WW_PPE_VAL,"Expenditures incurred,  Type of Construction, Own use","Expenditures: property, plant, and equipment",80.40%
17,CAPEX_BUILD,CAPEX_DOM_PPE_VAL,"Capital Expenditures, New and Used Buildings","Domestic capital expenditures: property, plant, and equipment",80.20%
18,DEPR_TOT,ASSET_DA_PPE_VAL,"Depreciation charges, Total Buildings and Machinery","Depreciation: property, plant, and equipment",80.10%
19,EXPS_CON_PCT_NEW_RENT,CAPEX_WW_PPE_VAL,"Expenditures incurred, Type of Construction, Rent or lease","Expenditures: property, plant, and equipment",80.00%
20,EXPS_CON_DOL,CAPEX_WW_PPE_VAL,"Expenditures incurred,  construction activity","Expenditures: property, plant, and equipment",80.00%
21,EXPS_TEMPSTAF_VAL,EXPS_DOM_RD_CORE_TEMP_VAL,Temporary staff and leased employee expense,Type of R&D Costs: Leased employees and temporary staffing  (Domestic),79.60%
22,CAPEX_NEW_TOT_DVAL,CAPEX_WW_TOT_VAL,Capital Expenditures: All new - total,Worldwide capital expenditures: total,79.60%
23,EXPS_TEMPSTAF_VAL,EXPS_DOM_RD_CORE_TEMP_VAL,Temporary Staff and Leased Employee Expense,Type of R&D Costs: Leased employees and temporary staffing  (Domestic),79.60%
24,ASSET_TOT_END,ASSET_DA_PPE_VAL,"Depreciable assets at the end of the year,  Total Buildings and Machinery","Depreciation: property, plant, and equipment",79.50%
25,AFFIL_SPL_OWN_DOM_YES_ARCHIVE,AFFIL_OWNER_FOR_STAT,Is the company owned or controlled by another domestic company?,Was company owned by a foreign company?,79.30%
26,EXPS_CON_PCT_TOT1,CAPEX_WW_PPE_VAL,"Expenditures incurred,  Total type of buildings","Expenditures: property, plant, and equipment",79.30%
27,CAPEX_OTHMACH_VAL,CAPEX_WW_PPE_VAL,Capital Expenditures: Machinery - all other,"Expenditures: property, plant, and equipment",79.10%
28,EXPS_CON_PCT_NEW_TOT,CAPEX_WW_PPE_VAL,"Expenditures incurred,  Type of Construction,  Total","Expenditures: property, plant, and equipment",78.80%
29,EXPS_CON_PCT_NEW,CAPEX_WW_PPE_VAL,"Expenditures incurred, New construction","Expenditures: property, plant, and equipment",78.60%
30,EXPS_CON_PCT_TOT2,CAPEX_WW_PPE_VAL,"Expenditures incurred,  Total type of construction","Expenditures: property, plant, and equipment",78.40%
31,CAPEX_USED_TOT_DVAL,CAPEX_WW_TOT_VAL,Capital Expenditures: All used - total,Worldwide capital expenditures: total,78.10%
32,CAPEX_CO_VAL,CAPEX_WW_TOT_VAL,Total Capital Expenditures for Company,Worldwide capital expenditures: total,77.30%
33,EXPS_CON_PCT_ADD,CAPEX_WW_PPE_VAL,"Expenditures incurred, Additions, alterations, or reconstruction","Expenditures: property, plant, and equipment",77.10%
34,DEPR_TOT_MACH,ASSET_DA_PPE_VAL,"Depreciation charges, Machinery","Depreciation: property, plant, and equipment",77.10%
