,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Cosine Score,Jaccard Score
0,SE_TREAS_STOCK_VAL,00325,Treasury stock at cost,treasury Stock at cost,100.00%,100.00%,100.00%
1,EIN_NUM,00022,Employer Identification Number,Employer Identification Number,100.00%,100.00%,100.00%
2,ASSET_INV_VAL,00214,Inventories,Inventories,100.00%,100.00%,100.00%
3,ASSET_LAND_MINERAL_VAL,00217,Land and mineral rights,Land and Mineral Rights,100.00%,100.00%,100.00%
4,INCOM_NET_VAL,00118,Net income (loss) for quarter,Net Income (loss) for Quarter,100.00%,100.00%,100.00%
5,INDUSTRY_STAT,00001,Is this your Company's Industry - Yes/No,Is this your company's industry - yes/no,100.00%,100.00%,100.00%
6,ASSET_TRADE_REC_GOV_VAL,00211,Trade receivables from the U.S. Government,Trade Receivables from the U.S. Government,100.00%,100.00%,100.00%
7,RETAIN_EARN_BGN_VAL,00119,Retained earnings at beginning of quarter,Retained Earnings at Beginning of Quarter,100.00%,100.00%,100.00%
8,RETAIN_EARN_END_VAL,00123,Retained earnings at end of quarter,Retained Earnings at End of Quarter,100.00%,100.00%,100.00%
9,INCOM_BEF_INCOM_TAX_VAL,00111,Income (loss) before income taxes,Income (loss) before income taxes,100.00%,100.00%,100.00%
10,LIAB_LONG_BANK_LOAN_VAL,00316,Long-term debt - Loans from banks,Long Term Debt - Loans from Banks,99.24%,99.11%,100.00%
11,ASSET_TRADE_REC_VAL,00213,Other trade accounts and trade notes receivable,Trade Accounts and Trade Notes Receivable,97.11%,96.59%,100.00%
12,SE_FOR_CUR_TRANSADJ_VAL,00323,Cumulative foreign currency translation adjustment,Cumulative foreign Currency Adjustment,92.58%,94.80%,80.00%
13,INCOM_OPER_VAL,00104,Income (loss) from operations,Income (loss) from Operation,89.96%,97.01%,50.00%
14,LIAB_SHORT_OTH_IN_CMPPR_VAL,00302,"Other short-term loans, including commercial paper",Short Term Loans (Commercial Paper),89.77%,90.90%,83.33%
15,LIAB_CUR_LONG_BANK_LOAN_VAL,00310,Current portion of long-term debt - Loans from banks,Current Portion Long Term Debt-Banks,89.32%,89.95%,85.71%
16,SE_CAP_ST_LESS_TREAS_ST_VAL,00321,Capital stock and other capital (less treasury stock),Capital Stock and Other Capital,87.93%,91.68%,66.67%
17,INCOM_ACCT_CHANGES_VAL,00117,"Cumulative effect of accounting changes, net of taxes",Cumulative Effect of Accounting Changes,86.87%,90.44%,66.67%
18,LIAB_CUR_LONG_BOND_LOAN_VAL,00311,Current portion of long-term debt - Bonds and debentures,Current Portion Long Term Debt-Bonds,86.47%,86.61%,85.71%
19,LIAB_LONG_BOND_DEB_VAL,00317,Long-term debt - Bonds and debentures,Long Term Debt - Bonds,85.77%,86.79%,80.00%
20,AFFIL_OWNER_STAT,00041,Owned by another company more than 50% - Yes/No,Owned by another company - No/Yes,84.69%,86.41%,75.00%
21,LIAB_CUR_OTH_LLOAN_IN_BND,00311,"Current portion of long-term debt - Other long-term loans, including bonds and debentures",Current Portion Long Term Debt-Bonds,84.02%,87.08%,66.67%
22,EIN_STAT,00022,Is the Employer Identification Number correct?,Employer Identification Number,83.82%,85.37%,75.00%
23,INV_MERCH_VAL,00214,Inventories: Merchandise,Inventories,82.57%,88.32%,50.00%
24,INCOM_EXPS_RECURR_VAL,00107,Other recurring nonoperating income (expense),Other Recurring Non-operating Income,81.27%,89.73%,33.33%
25,LIAB_SHORT_BANK_LOAN_VAL,00301,Short-term debt - Loans from banks,Short Term Loans (Loan from Banks),81.15%,83.71%,66.67%
26,LIAB_OTH_LLOAN_IN_BND,00317,"Long-term debt - Other long-term loans, including bonds and debentures",Long Term Debt - Bonds,80.97%,85.17%,57.14%
27,LIAB_SHORT_OTH_EX_CMPPR_VAL,00303,"Other short-term loans, excluding commercial paper",Short Term Loans (Other Short Term Loans),80.29%,85.64%,50.00%
