,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score
0,EIN_NUM,00022,Employer Identification Number,Employer Identification Number,100.00%
1,ASSET_INV_VAL,00214,Inventories,Inventories,100.00%
2,ASSET_LAND_MINERAL_VAL,00217,Land and mineral rights,Land and Mineral Rights,100.00%
3,SE_TREAS_STOCK_VAL,00325,Treasury stock at cost,treasury Stock at cost,100.00%
4,INCOM_BEF_INCOM_TAX_VAL,00111,Income (loss) before income taxes,Income (loss) before income taxes,100.00%
5,ASSET_TRADE_REC_GOV_VAL,00211,Trade receivables from the U.S. Government,Trade Receivables from the U.S. Government,100.00%
6,INDUSTRY_STAT,00001,Is this your Company's Industry - Yes/No,Is this your company's industry - yes/no,100.00%
7,RETAIN_EARN_END_VAL,00123,Retained earnings at end of quarter,Retained Earnings at End of Quarter,100.00%
8,RETAIN_EARN_BGN_VAL,00119,Retained earnings at beginning of quarter,Retained Earnings at Beginning of Quarter,100.00%
9,INCOM_NET_VAL,00118,Net income (loss) for quarter,Net Income (loss) for Quarter,100.00%
10,LIAB_LONG_BANK_LOAN_VAL,00316,Long-term debt - Loans from banks,Long Term Debt - Loans from Banks,99.10%
11,INCOM_OPER_VAL,00104,Income (loss) from operations,Income (loss) from Operation,97.00%
12,ASSET_TRADE_REC_VAL,00213,Other trade accounts and trade notes receivable,Trade Accounts and Trade Notes Receivable,96.60%
13,SE_FOR_CUR_TRANSADJ_VAL,00323,Cumulative foreign currency translation adjustment,Cumulative foreign Currency Adjustment,94.80%
14,SE_CAP_ST_LESS_TREAS_ST_VAL,00321,Capital stock and other capital (less treasury stock),Capital Stock and Other Capital,91.70%
15,LIAB_SHORT_OTH_IN_CMPPR_VAL,00302,"Other short-term loans, including commercial paper",Short Term Loans (Commercial Paper),90.90%
16,INCOM_ACCT_CHANGES_VAL,00117,"Cumulative effect of accounting changes, net of taxes",Cumulative Effect of Accounting Changes,90.40%
17,LIAB_CUR_LONG_BANK_LOAN_VAL,00310,Current portion of long-term debt - Loans from banks,Current Portion Long Term Debt-Banks,90.00%
18,INCOM_EXPS_RECURR_VAL,00107,Other recurring nonoperating income (expense),Other Recurring Non-operating Income,89.70%
19,INV_MERCH_VAL,00214,Inventories: Merchandise,Inventories,88.30%
20,LIAB_CUR_OTH_LLOAN_IN_BND,00311,"Current portion of long-term debt - Other long-term loans, including bonds and debentures",Current Portion Long Term Debt-Bonds,87.10%
21,LIAB_LONG_BOND_DEB_VAL,00317,Long-term debt - Bonds and debentures,Long Term Debt - Bonds,86.80%
22,LIAB_CUR_LONG_BOND_LOAN_VAL,00311,Current portion of long-term debt - Bonds and debentures,Current Portion Long Term Debt-Bonds,86.60%
23,AFFIL_OWNER_STAT,00041,Owned by another company more than 50% - Yes/No,Owned by another company - No/Yes,86.40%
24,SE_CAPITAL_STOCK_VAL,00321,Capital stock and other capital - Include additional paid in capital,Capital Stock and Other Capital,86.20%
25,LIAB_SHORT_OTH_EX_CMPPR_VAL,00303,"Other short-term loans, excluding commercial paper",Short Term Loans (Other Short Term Loans),85.60%
26,EIN_STAT_YES,00022,Is the Employer Identification Number correct?,Employer Identification Number,85.40%
27,LIAB_OTH_LLOAN_IN_BND,00317,"Long-term debt - Other long-term loans, including bonds and debentures",Long Term Debt - Bonds,85.20%
28,LIAB_STOCKHOLD_TOT_VAL,00328,TOTAL LIABILITIES AND STOCKHOLDERS' EQTY,Total Laibilities and Stockholders Equity,83.90%
29,AFFIL_OWNER_EIN,00022,Employer Identification Number of the owning or controlling company,Employer Identification Number,83.70%
30,LIAB_SHORT_BANK_LOAN_VAL,00301,Short-term debt - Loans from banks,Short Term Loans (Loan from Banks),83.70%
31,EXPS_DIR_CREDITS_VAL,00121,Other direct credits (charges) to retained earnings,Other Credits to Retained Earning,83.10%
32,LIAB_CUR_OTH_LLOAN_EX_BND,00311,"Current portion of long-term debt - Other long-term loans, excluding bonds and debentures",Current Portion Long Term Debt-Bonds,81.70%
33,EXPS_INTEREST_VAL,00105,Operating Interest Expense,Interest Expense,81.00%
34,ACTCHG_CUM_DBCRD_TXT,00117,"Cumulative effect of accounting changes, net of taxes - principal debits and credits that contribute - Description",Cumulative Effect of Accounting Changes,81.00%
35,ASSET_TRADE_REC_INC_GOV_VAL,00211,Trade accounts and trade receivables including government,Trade Receivables from the U.S. Government,80.90%
36,LIAB_SHORT_COM_PAPER_VAL,00302,Short-term debt - Commercial paper,Short Term Loans (Commercial Paper),80.60%
37,INV_STAT,00214,Inventories: Status,Inventories,80.50%
38,ACTCHG_CUM_DBCRD_VAL,00117,"Cumulative effect of accounting changes, net of taxes - principal debits and credits that contribute - Amount",Cumulative Effect of Accounting Changes,80.40%
39,SUBSID_CONSOL_NUM,00071,Number of corporations consolidated in this report,Number of Subsidiary Corporations Consolidated,80.20%
