,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score
0,PROFIT_CHG_WEATHERCORP_CODE,NDNET,Weather Corporation Net Profit Change,Weather Corporation Net Profit Change 1 - Increased a lot How did this corporation's net profit change compared to what was normal before,86.60%
1,INDUSTRY_STAT_WRTIN_TXT,00001,Is this your Company's Industry -Yes/No (Write-in for 'No' selection),Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no,85.00%
2,ASSET_LAND_MINERAL_VAL,00217,Land and mineral rights,Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights,83.90%
3,INCOM_NET_VAL,00118,Net income (loss) for quarter,Net Income (loss) for Quarter        118 Net Income (loss) for Quarter Net Income (loss) for Quarter,83.60%
4,RETAIN_EARN_END_VAL,0123D,Retained earnings at end of quarter,Retained Earnings at End of Quarter  123 Retained Earning at End of Quarter Retained Earning at End of quarter,82.30%
5,INCOM_ACCT_CHANGES_VAL,00117,"Cumulative effect of accounting changes, net of taxes",Cumulative Effect of Accting Changes-117 Cumulative Effect of Accounting Changes Cumulative Effect of Accounting Changes,81.80%
6,ASSET_TRADE_REC_GOV_VAL,00211,Trade receivables from the U.S. Government,Trade Receivables from US Government 211 Trade Receivables from the U.S. Government Trade Receivables from the U.S. Government,81.80%
7,SE_FOR_CUR_TRANSADJ_VAL,00323,Cumulative foreign currency translation adjustment,Cumulative Forgn Currency Adjustment 323 Cumulative foreign Currency Adjustment Cumulative Foreign Currency Adjustment,81.10%
8,ASSET_TRADE_REC_VAL,00213,Other trade accounts and trade notes receivable,Trade Accnts and Notes Receivable    213 Trade Accounts and Trade Notes Receivable Trade Accounts and Trade Notes Receivable,81.00%
9,EIN_NUM,00022,Employer Identification Number,EI of corp Employer Identification Number Employer Identification Number,80.10%
10,SE_CAP_ST_LESS_TREAS_ST_VAL,00326,Capital stock and other capital (less treasury stock),Capital Stock and Other Capital      326 Capital Stock and Other Capital Capital Stock and Other Capital,80.00%
11,INDUSTRY_STAT,00001,Is this your Company's Industry - Yes/No,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no,79.90%
12,SE_TREAS_STOCK_VAL,00325,Treasury stock at cost,Treasury Stock at Cost               325 treasury Stock at cost Treasury Stock,79.80%
13,PAY_QTR1_PY,P2PAY,First Quarter Payroll   Prior Year,Prior Prior quarter payroll from BR nan nan,79.70%
14,ACTCHG_CUM_DBCRD_TXT,00117,"Cumulative effect of accounting changes, net of taxes - principal debits and credits that contribute - Description",Cumulative Effect of Accting Changes-117 Cumulative Effect of Accounting Changes Cumulative Effect of Accounting Changes,78.90%
15,AFFIL_OWNER_STAT,00041,Owned by another company more than 50% - Yes/No,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes,78.80%
16,RETAIN_EARN_BGN_VAL,00119,Retained earnings at beginning of quarter,Retained Earnings-Beginning Quarter  119 Retained Earnings at Beginning of Quarter Retained Earnings at Beginning of Quarter,78.10%
17,RCPT_OTHMRCH_VAL,00101,"Sales, Shipments Receipts, or Revenue - Other merchandise","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",77.30%
18,ACTCHG_CUM_DBCRD_VAL,00117,"Cumulative effect of accounting changes, net of taxes - principal debits and credits that contribute - Amount",Cumulative Effect of Accting Changes-117 Cumulative Effect of Accounting Changes Cumulative Effect of Accounting Changes,77.10%
19,ASSET_NET_PPE_VAL,00219,"Net property, plant, and equipment",Net Property Plant and Equipment     219 NET PPE Net PPE,76.90%
20,INCOM_OPER_VAL,00104,Income (loss) from operations,Income (loss) from operations        104 Income (loss) from Operation Income (loss) from operations,76.40%
21,RCPT_COMP_VAL,00101,"Sales, Shipments Receipts, or Revenue - Computer","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",76.30%
22,RCPT_TOT,00101,"Total Sales, Shipments, Receipts or Revenue","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",76.20%
23,RCPT_TOT_VAL,00101,"Sales, Shipments, Receipts, or Revenue","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",76.10%
24,RCPT_ELAPPL_VAL,00101,"Sales, Shipments Receipts, or Revenue - Electronics & appliances","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",75.80%
25,INCOM_FOR_NONCONS_DOM_VAL,00109,"Income (loss) of foreign branches and eqty in earnings (losses) of domestic and foreign nonconsolidated subsidiaries and other investments accounted for by the eqty method, net of foreign taxes",Income (loss) of foreign branches    109 Income loss of foreign branches Income loss of foreign branches,75.70%
26,AFFIL_OWNER_EIN,00022,Employer Identification Number of the owning or controlling company,EI of corp Employer Identification Number Employer Identification Number,75.60%
27,INCOM_STATEMNT_B_DATE,00123,Statement of Income and Retained Earnings for your 3-MONTH PERIOD: From Date,Retained Earnings at End of Quarter  123 Retained Earnings at End of Quarter Retained Earning at End of quarter,75.40%
28,INCOM_STATEMNT_E_DATE,00123,Statement of Income and Retained Earnings for your 3-MONTH PERIOD: To Date,Retained Earnings at End of Quarter  123 Retained Earnings at End of Quarter Retained Earning at End of quarter,75.30%
29,DEPR_ACCUM_VAL,00102,"Accumulated depreciation, depletion, and amortization.","Depreciation,Depletion, Amortization-102 nan Depreciation, Depletion and Amortization",75.30%
30,DISCONTINUE_DATE,00034,Corporation status - Discontinued date,Discontinued Date Discontinued Date Discontinued Date,75.30%
31,ASSET_INV_VAL,00214,Inventories,Inventories                          214 Inventories Inventories,75.10%
32,RCPT_NONMRCH_VAL,00101,"Sales, Shipments Receipts, or Revenue - Other non-merchandise","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",74.70%
33,RCPT_TOT_PY,00101,"Total Sales, Shipments, Receipts or Revenue  Prior Year","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",74.50%
34,BALANCE_SHEET_DATE,00403,Balance sheet date,Balance sheet date                   403 nan nan,74.40%
35,INCOM_EXPS_RECURR_VAL,00107,Other recurring nonoperating income (expense),Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income,74.30%
36,PAY_QTR1,PPAY,First Quarter Payroll,Prior quarter payroll from br nan nan,74.20%
37,PAY_QTR1_VAL,PPAY,First quarter payroll,Prior quarter payroll from br nan nan,74.20%
38,ASSET_TRADE_REC_INC_GOV_VAL,00213,Trade accounts and trade receivables including government,Trade Accnts and Notes Receivable    213 Trade Accounts and Trade Notes Receivable Trade Accounts and Trade Notes Receivable,74.10%
39,INCOM_EXPS_NOP_DBCRD5_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 5,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,73.90%
40,INCOM_EXPS_NOP_DBCRD1_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 1,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,73.80%
41,LIAB_CUR_OTH_LLOAN_IN_BND,00313,"Current portion of long-term debt - Other long-term loans, including bonds and debentures",Current Portion of Long Term Debt    313 Current Portion Long Term Debt-Other Current Portion Long Term Debt,73.80%
42,RCPT_SHPHDL_VAL,00101,"Sales, Shipments Receipts, or Revenue - S&H","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",73.70%
43,INCOM_EXPS_NOP_DBCRD4_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 4,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,73.60%
44,RCPT_OFCEQ_VAL,00101,"Sales, Shipments Receipts, or Revenue - Office equipment & supplies","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",73.50%
45,RCPT_ADVERT_VAL,00101,"Sales, Shipments Receipts, or Revenue - Advertising","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",73.50%
46,RCPT_SPTGD_VAL,00101,"Sales, Shipments Receipts, or Revenue - Sporting goods","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",73.50%
47,INCOM_EXPS_NOP_DBCRD3_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 3,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,73.40%
48,INCOM_EXPS_NOP_DBCRD2_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 2,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,73.30%
49,RETAIN_EARN_VAL,00123,Retained earnings,Retained Earnings at End of Quarter  123 Retained Earnings at End of Quarter Retained Earning at End of quarter,73.20%
50,RCPT_TOT_PY_VAL,00101,"Prior year Sales, Shipments, Receipts, or Revenue","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",73.10%
51,PAY_QTR1_OTHWRK_M_PY,PPAY,Prior Year First Quarter Payroll for Non-Production Workers,Prior quarter payroll from br nan nan,73.00%
52,RCPT_CLOTH_VAL,00101,"Sales, Shipments Receipts, or Revenue - Clothing","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",72.80%
53,INCOM_BEF_INCOM_TAX_VAL,00111,Income (loss) before income taxes,Income (loss) before Income taxes    111 Income (loss) before income taxes Income (loss) before income taxes,72.60%
54,LIAB_SHORT_OTH_IN_CMPPR_VAL,00302,"Other short-term loans, including commercial paper",Short Term Loans (Commercial Paper)  302 Short Term Loans (Commercial Paper) Short Term Loans (Commercial Paper),72.60%
55,LIAB_CUR_LONG_BANK_LOAN_VAL,00310,Current portion of long-term debt - Loans from banks,Current Portion Long Term Debt-Banks 310 Current Portion Long Term Debt-Banks Current Portion Long Term Debt-Banks,72.60%
56,LIAB_CUR_OTH_LLOAN_EX_BND,00313,"Current portion of long-term debt - Other long-term loans, excluding bonds and debentures",Current Portion of Long Term Debt    313 Current Portion Long Term Debt-Other Current Portion Long Term Debt,72.50%
57,PAY_ANN_PY,P2PAY,Annual Payroll   Prior Year,Prior Prior quarter payroll from BR nan nan,72.30%
58,RCPT_BOOK_VAL,00101,"Sales, Shipments Receipts, or Revenue - Books","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",72.00%
59,SUBSID_STAT,00041,Owns another company more than 50% - Yes/No,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes,72.00%
60,RCPT_FDBRWN_VAL,00101,"Sales, Shipments Receipts, or Revenue - Food, beer & wine","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",72.00%
61,SE_CAPITAL_STOCK_VAL,00326,Capital stock and other capital - Include additional paid in capital,Capital Stock and Other Capital      326 Capital Stock and Other Capital Capital Stock and Other Capital,71.90%
62,PROFIT_LOSS_DVAL,00115,profit/loss amount,Net Income (loss)                    115 Net income (loss) Net Income (loss),71.70%
63,TAX_DOM_VAL,00114,Provision for current and deferred domestic income taxes,Provision for income taxes           114 Provision for Income Taxes Provision for domestic income taxes,71.60%
64,RCPT_FURNTR_VAL,00101,"Sales, Shipments Receipts, or Revenue - Furniture & home furnishings","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",71.50%
65,INV_STAT,00214,Inventories: Status,Inventories                          214 Inventories Inventories,71.50%
66,RCPT_DRUGS_VAL,00101,"Sales, Shipments Receipts, or Revenue - Drugs, health & beauty aids","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",71.10%
67,LIAB_OTH_LLOAN_EX_BND,00318,"Long-term debt - Other long-term loans, excluding bonds and debentures",Long Term Debt - Other               318 Long Term Debt - Other Long Term Debt - Other,71.00%
68,LIAB_CUR_LONG_BOND_LOAN_VAL,00311,Current portion of long-term debt - Bonds and debentures,Current Portion Long Term Debt-Bonds 311 Current Portion Long Term Debt-Bonds Current Portion Long Term Debt-Bonds,70.90%
69,RETAIN_EARN_DIR_DBCRD_TXT,00121,Other direct credits (charges) to retained earnings - principal debits and credits that contribute - Description,Other Credits to Retained Earning    121 Other Credits to Retained Earning Other Credits to Retained Earnings,70.90%
70,EXPS_OP_COST_OTH_VAL,00103,All other operating costs and expenses,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,70.90%
71,INV_MERCH_VAL,00214,Inventories: Merchandise,Inventories                          214 Inventories Inventories,70.70%
72,EXPS_DIR_CREDITS_VAL,00121,Other direct credits (charges) to retained earnings,Other Credits to Retained Earning    121 Other Credits to Retained Earning Other Credits to Retained Earnings,70.30%
73,EIN_STAT_YES_ARCHIVE,00022,Is the Employer Identification Number correct?,EI of corp Employer Identification Number Employer Identification Number,70.20%
74,INCOM_EXPS_NONOP_VAL,00110,"Nonoperating income and expenses - Include interest income, eqty and dividend income, etc.",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,70.20%
75,EXPS_OTHER_WRTIN_TXT,00103,All Other Operating Expenses -Specify,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,70.20%
76,RETAIN_EARN_DIR_DBCRD_VAL,00121,Other direct credits (charges) to retained earnings - principal debits and credits that contribute - Amount,Other Credits to Retained Earning    121 Other Credits to Retained Earning Other Credits to Retained Earnings,70.10%
77,LIAB_OTH_LLOAN_IN_BND,00318,"Long-term debt - Other long-term loans, including bonds and debentures",Long Term Debt - Other               318 Long Term Debt - Other Long Term Debt - Other,70.10%
78,RCPT_S_MERCH_GT50_NO_ARCHIVE,00101,Did the sale of merchandise account for more than half of the total receipts of this establishment?,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",69.70%
79,EXPS_OTHER_VAL,00103,All Other Operating Expenses,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses,69.70%
80,RCPT_TOYS_VAL,00101,"Sales, Shipments Receipts, or Revenue - Toys","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",69.70%
81,INV_E_WIP_VAL,00214,"Inventories: work in process, EOY",Inventories                          214 Inventories Inventories,69.40%
82,ALPHA,00022,Enterprise Identifier,EI of corp Employer Identification Number Employer Identification Number,69.30%
83,RCPT_OTHMRCH_TXT,00101,"Sales, Shipments Receipts, or Revenue - Specify other merchandise","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",69.30%
84,INCOM_EXPS_RECURR_DBCRD_TXT,00107,Other recurring nonoperating income (expenses) - principal debits and credits that contribute - Description,Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income,69.20%
85,INCOM_EXPS_NOP_DBCRD4_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 4,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,68.90%
86,LIAB_LONG_BOND_DEB_VAL,00317,Long-term debt - Bonds and debentures,Long Term Debt - Bonds               317 Long Term Debt - Bonds Long Term Debt - Bonds,68.80%
87,RCPT_NONMRCH_TXT,00101,"Sales, Shipments Receipts, or Revenue - Specify other non-merchandise","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",68.50%
88,EXPS_DEPR_VAL,00102,Depreciation and Amortization Charges,"Depreciation,Depletion, Amortization-102 nan Depreciation, Depletion and Amortization",68.30%
89,INCOM_EXPS_NOP_DBCRD3_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 3,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,68.30%
90,LIAB_LONG_BANK_LOAN_VAL,00316,Long-term debt - Loans from banks,Long Term Debt - Loans From Banks    316 Long Term Debt - Loans from Banks Long Term Debt - Loans from Banks,68.20%
91,INCOM_EXPS_NOP_DBCRD5_VAL,00110,Nonoperating income and expenses - principal debits and credits that contribute - Amount - 5,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses,68.20%
92,AFFIL_SPL_RCPT_TOT,00101,"Added child establishment,  Total Sales, Shipments, Receipts or Revenue","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",68.10%
93,EMP_MAR12_PY,P2PAY,"First  Quarter Employment,  Prior Year",Prior Prior quarter payroll from BR nan nan,68.10%
94,TAX_DOM_FED_VAL,00114,Provision for current and deferred domestic income taxes - Federal,Provision for income taxes           114 Provision for Income Taxes Provision for domestic income taxes,68.10%
95,AFFIL_SPL_ROOM_RENT_TOT,00101,"Added child establishment,   Total Sales, Shipments, Receipts or Revenue","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",68.10%
96,SUBSID_NONCONSOL_NUM,00072,Number of corporations not consolidated in this report,Number of Subs - not consolidated Number of Subsidiary Corporations - Not Consolidated Number of Subsidiary Corporations - Not consolidated,68.00%
97,RCPT_NONOP_OTH_VAL,00101,Revenue from all other non-operating revenue,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues",68.00%
98,OPSTAT_DATES,00034,"Ceased, Sold, and Added date",Discontinued Date Discontinued Date Discontinued Date,68.00%
99,DEPR_VAL,00102,"Domestic Depreciable Asset Data:_x000D_
Accumulated depreciation & amortization, ending","Depreciation,Depletion, Amortization-102 nan Depreciation, Depletion and Amortization",67.90%
100,LIAB_SHORT_OTH_EX_CMPPR_VAL,00302,"Other short-term loans, excluding commercial paper",Short Term Loans (Commercial Paper)  302 Short Term Loans (Commercial Paper) Short Term Loans (Commercial Paper),67.80%
101,INCOM_EXPS_RCR_DBCRD_VAL,00107,Other recurring nonoperating income (expenses) - principal debits and credits that contribute - Amount,Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income,67.80%
102,SUBSID_CONSOL_NUM,00071,Number of corporations consolidated in this report,Number of Subsidiary corps-consolidated Number of Subsidiary Corporations Consolidated Number of Subsidiary Corporations Consolidated,67.70%
