VariableNameA,VariableNameB (result/cosineSimilarity.csv),Similarity Score (result/cosineSimilarity.csv),Actual Result (result/cosineSimilarity.csv),VariableNameB (result/cosineJaccardSimilarity.csv),Similarity Score (result/cosineJaccardSimilarity.csv),Actual Result (result/cosineJaccardSimilarity.csv),VariableNameB (result/cosineSimilarityMultiple.csv),Similarity Score (result/cosineSimilarityMultiple.csv),Actual Result (result/cosineSimilarityMultiple.csv),Match (result/cosineSimilarity.csv),Match (result/cosineJaccardSimilarity.csv),Match (result/cosineSimilarityMultiple.csv)
CERT_EXTENSION_NUM,RESP_PHONE_EXT ,100.00%,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,100.00%,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,100.00%,CERT_EXTENSION_NUM,1,1,1
CERT_NAME_TXT,RESP_CONTACT_NAME ,100.00%,CERT_NAME_TXT,RESP_CONTACT_NAME ,100.00%,CERT_NAME_TXT,RESP_CONTACT_NAME ,100.00%,CERT_NAME_TXT,1,1,1
CERT_PHONE_NUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",100.00%,CERT_PHONE_NUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",100.00%,CERT_PHONE_NUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",100.00%,CERT_PHONE_NUM,1,1,1
CERT_TITLE_TXT,"
RESP_TITLE   ",100.00%,CERT_TITLE_TXT,"
RESP_TITLE   ",100.00%,CERT_TITLE_TXT,"
RESP_TITLE   ",100.00%,CERT_TITLE_TXT,1,1,1
CERT_EMAIL_TXT,RESP_EMAIL  ,93.70%,CERT_EMAIL_TXT,RESP_EMAIL  ,87.15%,CERT_EMAIL_TXT,RESP_EMAIL  ,93.70%,CERT_EMAIL_TXT,1,1,1
CAPEX_USED_TOT_DVAL,TCPEX,90.30%,CAPEX_TOT_VAL,TCPEX,88.01%,CAPEX_TOT_VAL,TCPEX,90.30%,CAPEX_TOT_VAL,0,0,0
CAPEX_CO_VAL,TCPEX,90.30%,CAPEX_TOT_VAL,TCPEX,88.03%,CAPEX_TOT_VAL,TCPEX,90.30%,CAPEX_TOT_VAL,0,0,0
CAPEX_OTH_USED_VAL,TCPEX,90.10%,CAPEX_TOT_VAL,TCPEX,87.79%,CAPEX_TOT_VAL,TCPEX,90.10%,CAPEX_TOT_VAL,0,0,0
CAPEX_OTH_USED_WRTIN_TXT,TCPEX,89.10%,CAPEX_TOT_VAL,TCPEX,84.70%,CAPEX_TOT_VAL,TCPEX,89.10%,CAPEX_TOT_VAL,0,0,0
CAPEX_OTH_NEW_VAL,TCPEX,88.40%,CAPEX_TOT_VAL,TCPEX,86.35%,CAPEX_TOT_VAL,TCPEX,88.40%,CAPEX_TOT_VAL,0,0,0
CAPEX_MACH_OTH,TCPEX,88.20%,CAPEX_TOT_VAL,TCPEX,84.99%,CAPEX_TOT_VAL,TCPEX,88.20%,CAPEX_TOT_VAL,0,0,0
CAPEX_NEW_TOT_DVAL,TCPEX,87.80%,CAPEX_TOT_VAL,TCPEX,85.91%,CAPEX_TOT_VAL,TCPEX,87.80%,CAPEX_TOT_VAL,0,0,0
