Variable Source,Variable - MDR,Similarity Score (result/cosineSimilarity.csv),Actual Result,VariableNameB (result/cosineJaccardSimilarity.csv),Similarity Score (result/cosineJaccardSimilarity.csv),Actual Result (result/cosineJaccardSimilarity.csv),VariableNameB (result/cosineSimilarityMultiple.csv),Similarity Score (result/cosineSimilarityMultiple.csv),Actual Result (result/cosineSimilarityMultiple.csv),Match (result/cosineSimilarity.csv),Match (result/cosineJaccardSimilarity.csv),Match (result/cosineSimilarityMultiple.csv)
RESP_PHONE_EXT ,CERT_EXTENSION_NUM,100.00%,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,100.00%,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,100.00%,CERT_EXTENSION_NUM,1,1,1
RESP_CONTACT_NAME ,CERT_NAME_TXT,100.00%,CERT_NAME_TXT,RESP_CONTACT_NAME ,100.00%,CERT_NAME_TXT,RESP_CONTACT_NAME ,100.00%,CERT_NAME_TXT,1,1,1
"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",CERT_PHONE_NUM,100.00%,CERT_PHONE_NUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",100.00%,CERT_PHONE_NUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",100.00%,CERT_PHONE_NUM,1,1,1
"
RESP_TITLE   ",CERT_TITLE_TXT,100.00%,CERT_TITLE_TXT,"
RESP_TITLE   ",100.00%,CERT_TITLE_TXT,"
RESP_TITLE   ",100.00%,CERT_TITLE_TXT,1,1,1
RESP_EMAIL  ,CERT_EMAIL_TXT,93.70%,CERT_EMAIL_TXT,RESP_EMAIL  ,87.15%,CERT_EMAIL_TXT,RESP_EMAIL  ,93.70%,CERT_EMAIL_TXT,1,1,1
TCPEX,CAPEX_USED_TOT_DVAL,90.30%,CAPEX_TOT_VAL,TCPEX,88.01%,CAPEX_TOT_VAL,TCPEX,90.30%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_CO_VAL,90.30%,CAPEX_TOT_VAL,TCPEX,88.03%,CAPEX_TOT_VAL,TCPEX,90.30%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_OTH_USED_VAL,90.10%,CAPEX_TOT_VAL,TCPEX,87.79%,CAPEX_TOT_VAL,TCPEX,90.10%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_OTH_USED_WRTIN_TXT,89.10%,CAPEX_TOT_VAL,TCPEX,84.70%,CAPEX_TOT_VAL,TCPEX,89.10%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_OTH_NEW_VAL,88.40%,CAPEX_TOT_VAL,TCPEX,86.35%,CAPEX_TOT_VAL,TCPEX,88.40%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_MACH_OTH,88.20%,CAPEX_TOT_VAL,TCPEX,84.99%,CAPEX_TOT_VAL,TCPEX,88.20%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_NEW_TOT_DVAL,87.80%,CAPEX_TOT_VAL,TCPEX,85.91%,CAPEX_TOT_VAL,TCPEX,87.80%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_OTH_NEW_WRTIN_TXT,87.80%,CAPEX_TOT_VAL,TCPEX,83.63%,CAPEX_TOT_VAL,TCPEX,87.80%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_OTH_TOT_DVAL,87.20%,CAPEX_TOT_VAL,TCPEX,83.16%,CAPEX_TOT_VAL,TCPEX,87.20%,CAPEX_TOT_VAL,0,0,0
B_OPEXPENSE ,EXPS_TOT_VAL,87.10%,EXPS_TOT_VAL,B_OPEXPENSE ,85.26%,EXPS_TOT_VAL,B_OPEXPENSE ,87.10%,EXPS_TOT_VAL,1,1,1
B_OPEXPENSE ,COST_CONMAT_TOT,83.00%,EXPS_TOT_VAL,B_OPEXPENSE ,79.53%,EXPS_TOT_VAL,B_OPEXPENSE ,83.00%,EXPS_TOT_VAL,0,0,0
TCPEX,CAPEX_MACH_OTH_PY,82.50%,CAPEX_TOT_VAL,TCPEX,76.09%,CAPEX_TOT_VAL,TCPEX,82.50%,CAPEX_TOT_VAL,0,0,0
B_PARENTCO_DOMESTIC,SUBSID_STAT,81.10%,OWNED_DOMESTIC_STAT,B_PARENTCO_DOMESTIC,76.41%,OWNED_DOMESTIC_STAT,B_PARENTCO_DOMESTIC,81.10%,OWNED_DOMESTIC_STAT,0,0,0
RESP_CONTACT_NAME ,CERT_WEBSITE_TXT,80.00%,CERT_NAME_TXT,RESP_CONTACT_NAME ,77.98%,CERT_NAME_TXT,RESP_CONTACT_NAME ,80.00%,CERT_NAME_TXT,0,0,0
B_ANYONE_10_PCT,AFFIL_OWNER_STAT,79.40%,OWNED_10_PCT_STAT,B_ANYONE_10_PCT,71.79%,OWNED_10_PCT_STAT,B_ANYONE_10_PCT,79.40%,OWNED_10_PCT_STAT,0,0,0
B_OPEXPENSE ,OPEX,79.30%,EXPS_TOT_VAL,B_OPEXPENSE ,74.93%,EXPS_TOT_VAL,B_OPEXPENSE ,79.30%,EXPS_TOT_VAL,0,0,0
B_OPEXPENSE ,EXPS_OTHER_VAL,78.40%,EXPS_TOT_VAL,B_OPEXPENSE ,74.13%,EXPS_TOT_VAL,B_OPEXPENSE ,78.40%,EXPS_TOT_VAL,0,0,0
TCPEX,CAPEX_TOT_DVAL,78.10%,CAPEX_TOT_VAL,TCPEX,77.66%,CAPEX_TOT_VAL,TCPEX,78.10%,CAPEX_TOT_VAL,0,0,0
B_EXPCOST_TECH,CAPEX_SOFTWARE_INTDEV_VAL,78.00%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,72.69%,CAPEX_RD_OPS_TECH_VAL,B_EXPCOST_TECH,78.00%,CAPEX_RD_OPS_TECH_VAL,0,0,0
RESP_REMARKS,CENSUS_REMARKS,77.50%,REMARKS_WRTIN_TXT,RESP_REMARKS,71.86%,REMARKS_WRTIN_TXT,RESP_REMARKS,77.50%,REMARKS_WRTIN_TXT,0,0,0
TCPEX,CAPEX_SOFTWARE_TOT_VAL,77.40%,CAPEX_TOT_VAL,TCPEX,73.25%,CAPEX_TOT_VAL,TCPEX,77.40%,CAPEX_TOT_VAL,0,0,0
B_OPEXPENSE ,EXPS_OTHER_WRTIN_TXT,77.30%,EXPS_TOT_VAL,B_OPEXPENSE ,71.74%,EXPS_TOT_VAL,B_OPEXPENSE ,77.30%,EXPS_TOT_VAL,0,0,0
RESP_BUS_DESC,NAICS_WRTIN_TXT,77.20%,NAICS_DESC_TXT,RESP_BUS_DESC,74.66%,NAICS_DESC_TXT,RESP_BUS_DESC,77.20%,NAICS_DESC_TXT,0,0,0
TCPEX,CAPEX_USED_TOT,77.20%,CAPEX_TOT_VAL,TCPEX,73.10%,CAPEX_TOT_VAL,TCPEX,77.20%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_OTHMACH_VAL,77.10%,CAPEX_TOT_VAL,TCPEX,73.02%,CAPEX_TOT_VAL,TCPEX,77.10%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_MIN_TOT,76.70%,CAPEX_TOT_VAL,TCPEX,76.47%,CAPEX_TOT_VAL,TCPEX,76.70%,CAPEX_TOT_VAL,0,0,0
B_CAPEXP_TOTAL,CAPEX_MACH_VAL,76.60%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,71.09%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,76.60%,CAPEX_TOT_VAL,0,0,0
B_CAPEXP_TOTAL,CAPEX_MACH_NEW_VAL,76.60%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,72.58%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,76.60%,CAPEX_TOT_VAL,0,0,0
FYEND_MONTH,YEAR_END_DATE,76.00%,FY_END_DATE,FYEND_MONTH,67.13%,FY_END_DATE,FYEND_MONTH,76.00%,FY_END_DATE,0,0,0
B_CAPEXP_TOTAL,CAPEX_MACH_USED_VAL,75.80%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,71.91%,CAPEX_TOT_VAL,B_CAPEXP_TOTAL,75.80%,CAPEX_TOT_VAL,0,0,0
TCPEX,CAPEX_MACH_COMP,75.70%,CAPEX_TOT_VAL,TCPEX,71.88%,CAPEX_TOT_VAL,TCPEX,75.70%,CAPEX_TOT_VAL,0,0,0
NPRDSOURCEWI,FUNDS_DEV_TOT,75.70%,EXPS_RSRCH_OTH_TXT,NPRDSOURCEWI,68.67%,EXPS_RSRCH_OTH_TXT,NPRDSOURCEWI,75.70%,EXPS_RSRCH_OTH_TXT,0,0,0
TCPEX,CAPEX_TOT,75.60%,CAPEX_TOT_VAL,TCPEX,70.65%,CAPEX_TOT_VAL,TCPEX,75.60%,CAPEX_TOT_VAL,0,0,0
,OWNSTAT_ORGN_NO_ARCHIVE,,,,,,,,,0,0,0
