,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score,Cosine Score,Jaccard Score,result
0,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,Contact Information: Extension,Contact Information: Extension,100.00%,100.00%,100.00%,CERT_EXTENSION_NUM
1,CERT_TITLE_TXT,"
RESP_TITLE   ",Contact Information: Title,Contact Information: Title,100.00%,100.00%,100.00%,CERT_TITLE_TXT
2,CERT_PHONE_NUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Contact Information: Phone,Contact Information: Phone,100.00%,100.00%,100.00%,CERT_PHONE_NUM
3,CERT_NAME_TXT,RESP_CONTACT_NAME ,Contact Information: Name,Contact Information: Name,100.00%,100.00%,100.00%,CERT_NAME_TXT
4,CAPEX_CO_VAL,TCPEX,Total Capital Expenditures for Company,Total capital expenditures,88.03%,90.33%,75.00%,CAPEX_TOT_VAL
5,CAPEX_USED_TOT_DVAL,TCPEX,Capital Expenditures: All used - total,Total capital expenditures,88.01%,90.30%,75.00%,CAPEX_TOT_VAL
6,CAPEX_OTH_USED_VAL,TCPEX,Capital Expenditures: Other used - total,Total capital expenditures,87.79%,90.05%,75.00%,CAPEX_TOT_VAL
7,CERT_EMAIL_TXT,RESP_EMAIL  ,Contact Information: E-mail,Contact Information: Email,87.15%,93.71%,50.00%,CERT_EMAIL_TXT
8,CAPEX_OTH_NEW_VAL,TCPEX,Capital Expenditures: Other new - total,Total capital expenditures,86.35%,88.35%,75.00%,CAPEX_TOT_VAL
9,CAPEX_NEW_TOT_DVAL,TCPEX,Capital Expenditures: All new - total,Total capital expenditures,85.91%,87.83%,75.00%,CAPEX_TOT_VAL
10,EXPS_TOT_VAL,B_OPEXPENSE ,Total Operating Expenses,Total domestic operating expenses,85.26%,87.07%,75.00%,EXPS_TOT_VAL
11,CAPEX_MACH_OTH,TCPEX,"Capital Expenditures, Others",Total capital expenditures,84.99%,88.23%,66.67%,CAPEX_TOT_VAL
12,CAPEX_OTH_USED_WRTIN_TXT,TCPEX,"Capital Expenditures: Other used - total, specify",Total capital expenditures,84.70%,89.06%,60.00%,CAPEX_TOT_VAL
