,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score,"data/ABS-MOPS Variables - December 11 2024.xlsm: Unique Name for Variable 
On upload, will verify with those already in database to ensure unique and alert to those that are not

NOTE: 
1) Variable Names should be all caps with no spaces
2) Variables can not end with _# or _## as those are reserved for handling of repeating persons."
0,CERT_PHONE_NUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Contact Information: Phone,Contact Information: Phone,100.0%,CERT_PHONE_NUM
1,CERT_TITLE_TXT,"
RESP_TITLE   ",Contact Information: Title,Contact Information: Title,100.0%,CERT_TITLE_TXT
2,CERT_NAME_TXT,RESP_CONTACT_NAME ,Contact Information: Name,Contact Information: Name,100.0%,CERT_NAME_TXT
3,CERT_EXTENSION_NUM,RESP_PHONE_EXT ,Contact Information: Extension,Contact Information: Extension,100.0%,CERT_EXTENSION_NUM
4,CERT_EMAIL_TXT,RESP_EMAIL  ,Contact Information: E-mail,Contact Information: Email,93.7%,CERT_EMAIL_TXT
5,CAPEX_CO_VAL,TCPEX,Total Capital Expenditures for Company,Total capital expenditures,90.3%,CAPEX_TOT_VAL
6,CAPEX_USED_TOT_DVAL,TCPEX,Capital Expenditures: All used - total,Total capital expenditures,90.3%,CAPEX_TOT_VAL
7,CAPEX_OTH_USED_VAL,TCPEX,Capital Expenditures: Other used - total,Total capital expenditures,90.1%,CAPEX_TOT_VAL
8,CAPEX_OTH_USED_WRTIN_TXT,TCPEX,"Capital Expenditures: Other used - total, specify",Total capital expenditures,89.1%,CAPEX_TOT_VAL
9,CAPEX_OTH_NEW_VAL,TCPEX,Capital Expenditures: Other new - total,Total capital expenditures,88.4%,CAPEX_TOT_VAL
10,CAPEX_MACH_OTH,TCPEX,"Capital Expenditures, Others",Total capital expenditures,88.2%,CAPEX_TOT_VAL
11,CAPEX_OTH_NEW_WRTIN_TXT,TCPEX,"Capital Expenditures: Other new - total, specify",Total capital expenditures,87.8%,CAPEX_TOT_VAL
12,CAPEX_NEW_TOT_DVAL,TCPEX,Capital Expenditures: All new - total,Total capital expenditures,87.8%,CAPEX_TOT_VAL
13,CAPEX_OTH_TOT_DVAL,TCPEX,Capital Expenditures: Other new & used - total,Total capital expenditures,87.2%,CAPEX_TOT_VAL
14,EXPS_TOT_VAL,B_OPEXPENSE ,Total Operating Expenses,Total domestic operating expenses,87.1%,EXPS_TOT_VAL
15,COST_CONMAT_TOT,B_OPEXPENSE ,Total Operating Expenses paid,Total domestic operating expenses,83.0%,EXPS_TOT_VAL
16,CAPEX_MACH_OTH_PY,TCPEX,"Capital Expenditures, Others Prior Year",Total capital expenditures,82.5%,CAPEX_TOT_VAL
17,SUBSID_STAT,B_PARENTCO_DOMESTIC,Owns another company more than 50% - Yes/No,Yes/No if business is more than 50% owned by another U.S. company,81.1%,OWNED_DOMESTIC_STAT
18,CERT_WEBSITE_TXT,RESP_CONTACT_NAME ,Contact Information: Website,Contact Information: Name,80.0%,CERT_NAME_TXT
19,AFFIL_OWNER_STAT,B_ANYONE_10_PCT,Owned by another company more than 50% - Yes/No,Yes/No if one person owns 10% or more of the company,79.4%,OWNED_10_PCT_STAT
20,OPEX,B_OPEXPENSE ,Operating Expenses,Total domestic operating expenses,79.3%,EXPS_TOT_VAL
21,EXPS_OTHER_VAL,B_OPEXPENSE ,All Other Operating Expenses,Total domestic operating expenses,78.4%,EXPS_TOT_VAL
22,CAPEX_TOT_DVAL,TCPEX,Capital Expenditures: All capex - total,Total capital expenditures,78.1%,CAPEX_TOT_VAL
23,CAPEX_SOFTWARE_INTDEV_VAL,B_EXPCOST_TECH,"Capital Expenditures:_x000D_
Computer Software, internally-developed",R&D capital expenditures for software,78.0%,CAPEX_RD_OPS_TECH_VAL
24,CENSUS_REMARKS,RESP_REMARKS,Explanations in understanding the reported data,Remarks about reported data,77.5%,REMARKS_WRTIN_TXT
25,CAPEX_SOFTWARE_TOT_DVAL,TCPEX,"Capital Expenditures:_x000D_
Computer Software, total",Total capital expenditures,77.4%,CAPEX_TOT_VAL
26,EXPS_OTHER_WRTIN_TXT,B_OPEXPENSE ,All Other Operating Expenses -Specify,Total domestic operating expenses,77.3%,EXPS_TOT_VAL
27,CAPEX_USED_TOT,TCPEX,"Capital Expenditures, Used  Buildings and Machinery Total",Total capital expenditures,77.2%,CAPEX_TOT_VAL
28,NAICS_WRTIN_TXT,RESP_BUS_DESC,Primary Business or Activity: Description write-in,Primary business activity,77.2%,NAICS_DESC_TXT
29,CAPEX_OTHMACH_VAL,TCPEX,Capital Expenditures: Machinery - all other,Total capital expenditures,77.1%,CAPEX_TOT_VAL
30,CAPEX_MIN_TOT,TCPEX,"Capital Expenditures, Mineral Total",Total capital expenditures,76.7%,CAPEX_TOT_VAL
31,CAPEX_MACH_NEW_VAL,B_CAPEXP_TOTAL,Capital Expenditures: New machinery,Amount of capital expenditures,76.6%,CAPEX_TOT_VAL
32,CAPEX_MACH_VAL,B_CAPEXP_TOTAL,Capital Expenditures: New and Used machinery,Amount of capital expenditures,76.6%,CAPEX_TOT_VAL
33,YEAR_END_DATE,FYEND_MONTH,if fiscal or part yr  what is end date,Month that fiscal year ends ,76.0%,FY_END_DATE
34,CAPEX_MACH_USED_VAL,B_CAPEXP_TOTAL,Capital Expenditures: Used machinery,Amount of capital expenditures,75.8%,CAPEX_TOT_VAL
35,FUNDS_DEV_TOT,NPRDSOURCEWI,"Source of Research and Development Funds,  Total",Details on the amount of internal research funds that came from other sources,75.7%,EXPS_RSRCH_OTH_TXT
