,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score
0,RETAIN_EARN_END_VAL,0123D,Retained earnings at end of quarter,Retained Earnings at End of Quarter  123 Retained Earning at End of Quarter Retained Earning at End of quarter Retained Earnings -- End of Quarter (REE),88.2%
1,RETAIN_EARN_BGN_VAL,0123D,Retained earnings at beginning of quarter,Retained Earnings at End of Quarter  123 Retained Earning at End of Quarter Retained Earning at End of quarter Retained Earnings -- End of Quarter (REE),86.5%
2,ASSET_TRADE_REC_VAL,00212,Other trade accounts and trade notes receivable,Other Trade Accounts                 212 Other Trade Accounts Other Trade Accounts Other trade accounts and trade notes receivable   00212,86.5%
3,ASSET_LAND_MINERAL_VAL,00217,Land and mineral rights,Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights Land and mineral rights                           00217,85.8%
4,INCOM_NET_VAL,00118,Net income (loss) for quarter,Net Income (loss) for Quarter        118 Net Income (loss) for Quarter Net Income (loss) for Quarter Net Income (Loss) for Quarter                     00118,85.7%
5,ASSET_TRADE_REC_GOV_VAL,00211,Trade receivables from the U.S. Government,Trade Receivables from US Government 211 Trade Receivables from the U.S. Government Trade Receivables from the U.S. Government Trade Receivables US Gov                          00211,85.4%
6,INCOM_OPER_VAL,00104,Income (loss) from operations,Income (loss) from operations        104 Income (loss) from Operation Income (loss) from operations Income (Loss) from operations                     00104,84.4%
7,SUBSID_STAT,00051,Owns another company more than 50% - Yes/No,Own another company-YES/NO Own another company - Yes/No Own another Company-yes/no Does this corp own more than 50% of another       00051,84.1%
8,TAX_DOM_VAL,00114,Provision for current and deferred domestic income taxes,Provision for income taxes           114 Provision for Income Taxes Provision for domestic income taxes Provision for Current and Deferred Income Taxes   00114,84.0%
9,SE_FOR_CUR_TRANSADJ_VAL,00323,Cumulative foreign currency translation adjustment,Cumulative Forgn Currency Adjustment 323 Cumulative foreign Currency Adjustment Cumulative Foreign Currency Adjustment Cumu foreign currency translation adj.            00323,83.8%
10,EXPS_DIR_CREDITS_VAL,00121,Other direct credits (charges) to retained earnings,Other Credits to Retained Earning    121 Other Credits to Retained Earning Other Credits to Retained Earnings Other Direct Credits (Charges) to                 00121,83.7%
11,OPSTAT_MERGED_DATE,00035,Corporation status - Merged date,Merged Date Merged Date Merged Date Corporation Status of MERGED Date (YYYYMMDD)      00035,83.7%
12,DISCONTINUE_DATE,00034,Corporation status - Discontinued date,Discontinued Date Discontinued Date Discontinued Date Corporation Status of DISCONTINUED Date           00034,83.5%
13,TAX_DOM_FED_VAL,00114,Provision for current and deferred domestic income taxes - Federal,Provision for income taxes           114 Provision for Income Taxes Provision for domestic income taxes Provision for Current and Deferred Income Taxes   00114,81.6%
14,DEPR_ACCUM_VAL,00218,"Accumulated depreciation, depletion, and amortization.","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",81.6%
15,RETAIN_EARN_DIR_DBCRD_TXT,00121,Other direct credits (charges) to retained earnings - principal debits and credits that contribute - Description,Other Credits to Retained Earning    121 Other Credits to Retained Earning Other Credits to Retained Earnings Other Direct Credits (Charges) to                 00121,81.4%
16,ASSET_NET_PPE_VAL,00219,"Net property, plant, and equipment","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",81.4%
17,RETAIN_EARN_DIR_DBCRD_VAL,00121,Other direct credits (charges) to retained earnings - principal debits and credits that contribute - Amount,Other Credits to Retained Earning    121 Other Credits to Retained Earning Other Credits to Retained Earnings Other Direct Credits (Charges) to                 00121,80.9%
18,INCOM_EXPS_EXTRAORD_VAL,00116,"Extraordinary gains (losses), net of taxes",Extraordinary Gains                  116 Extraordinary Gains Extraordinary Gains Extraordinary Gains (Losses)                      00116,80.3%
19,PROFIT_CHG_WEATHERCORP_CODE,NDNET,Weather Corporation Net Profit Change,Weather Corporation Net Profit Change 1 - Increased a lot How did this corporation's net profit change compared to what was normal before nan,79.6%
20,SE_TREAS_STOCK_VAL,00325,Treasury stock at cost,Treasury Stock at Cost               325 treasury Stock at cost Treasury Stock Treasury stock at cost                            00325,78.9%
21,INCOM_FOR_NONCONS_DOM_VAL,00109,"Income (loss) of foreign branches and eqty in earnings (losses) of domestic and foreign nonconsolidated subsidiaries and other investments accounted for by the eqty method, net of foreign taxes",Income (loss) of foreign branches    109 Income loss of foreign branches Income loss of foreign branches Income (Loss) of Foreign Branches                 00109,78.8%
22,INCOM_ACCT_CHANGES_VAL,00117,"Cumulative effect of accounting changes, net of taxes",Cumulative Effect of Accting Changes-117 Cumulative Effect of Accounting Changes Cumulative Effect of Accounting Changes Cumulative Effect of Accounting Changes           00117,78.6%
23,AFFIL_OWNER_STAT,00041,Owned by another company more than 50% - Yes/No,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes Owned by more than 50%                            00041,77.6%
24,TAX_DOM_SL_VAL,00114,Provision for current and deferred domestic income taxes - State and local,Provision for income taxes           114 Provision for Income Taxes Provision for domestic income taxes Provision for Current and Deferred Income Taxes   00114,77.0%
25,ACTCHG_CUM_DBCRD_TXT,00117,"Cumulative effect of accounting changes, net of taxes - principal debits and credits that contribute - Description",Cumulative Effect of Accting Changes-117 Cumulative Effect of Accounting Changes Cumulative Effect of Accounting Changes Cumulative Effect of Accounting Changes           00117,76.8%
26,ACTCHG_CUM_DBCRD_VAL,00117,"Cumulative effect of accounting changes, net of taxes - principal debits and credits that contribute - Amount",Cumulative Effect of Accting Changes-117 Cumulative Effect of Accounting Changes Cumulative Effect of Accounting Changes Cumulative Effect of Accounting Changes           00117,76.4%
27,EIN_NUM,00022,Employer Identification Number,EI of corp Employer Identification Number Employer Identification Number Federal Employer Identification Number (EI)       00022,76.3%
28,INCOM_EXPS_RECURR_VAL,00107,Other recurring nonoperating income (expense),Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income Other recurring nonoperating income               00107,75.2%
29,INCOM_BEF_INCOM_TAX_VAL,00111,Income (loss) before income taxes,Income (loss) before Income taxes    111 Income (loss) before income taxes Income (loss) before income taxes Income (Loss) Before Income Taxes                 00111,75.1%
30,LIAB_STOCKHOLD_TOT_VAL,00328,TOTAL LIABILITIES AND STOCKHOLDERS' EQTY,Liabilities & Stockholders Equity    328 Total Laibilities and Stockholders Equity Total Liabilities and Stockholders Equity TOTAL LIABILITIES AND STOCKHOLDERS' EQUITY        00328,74.1%
31,LIAB_SHORT_OTH_IN_CMPPR_VAL,00302,"Other short-term loans, including commercial paper",Short Term Loans (Commercial Paper)  302 Short Term Loans (Commercial Paper) Short Term Loans (Commercial Paper) Short-term loans -- Commercial paper              00302,73.5%
32,BALANCE_SHEET_DATE,00403,Balance sheet date,Balance sheet date                   403 nan nan Balance Sheet Date (YYYYMMDD)                     00403,73.3%
33,TAX_DOM_NOPROV_TXT,00114,Please explain briefly why there were no tax provisions for current and deferred domestic income taxes,Provision for income taxes           114 Provision for Income Taxes Provision for domestic income taxes Provision for Current and Deferred Income Taxes   00114,73.1%
34,ASSET_TRADE_REC_INC_GOV_VAL,00211,Trade accounts and trade receivables including government,Trade Receivables from US Government 211 Trade Receivables from the U.S. Government Trade Receivables from the U.S. Government Trade Receivables US Gov                          00211,72.5%
35,DEPR_VAL,00218,"Domestic Depreciable Asset Data:_x000D_
Accumulated depreciation & amortization, ending","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",71.7%
36,INDUSTRY_STAT,00001,Is this your Company's Industry - Yes/No,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,71.3%
37,RETAIN_EARN_VAL,00123,Retained earnings,Retained Earnings at End of Quarter  123 Retained Earnings at End of Quarter Retained Earning at End of quarter Retained Earnings at End of Quarter               00123,71.3%
38,EXPS_DEPR_VAL,00218,Depreciation and Amortization Charges,"Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",71.2%
39,INCOM_EXPS_NONOP_VAL,00110,"Nonoperating income and expenses - Include interest income, eqty and dividend income, etc.",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,71.1%
40,TAX_DOM_FED_NOPROV_TXT,00114,Please explain briefly why there were no tax provisions for current and deferred domestic federal income taxes,Provision for income taxes           114 Provision for Income Taxes Provision for domestic income taxes Provision for Current and Deferred Income Taxes   00114,70.9%
41,SUBSID_NONCONSOL_NUM,00072,Number of corporations not consolidated in this report,Number of Subs - not consolidated Number of Subsidiary Corporations - Not Consolidated Number of Subsidiary Corporations - Not consolidated Number of Subsidiaries Not Fully Consolidated     00072,70.8%
42,LIAB_SHORT_OTH_EX_CMPPR_VAL,00302,"Other short-term loans, excluding commercial paper",Short Term Loans (Commercial Paper)  302 Short Term Loans (Commercial Paper) Short Term Loans (Commercial Paper) Short-term loans -- Commercial paper              00302,70.8%
43,INCOM_EXPS_NOP_DBCRD5_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 5,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,70.7%
44,INCOM_EXPS_NOP_DBCRD3_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 3,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,70.2%
45,ASSET_BGN_VAL,00218,"Gross depreciation assets total, BOY","Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",70.0%
46,SUBSID_CONSOL_NUM,00072,Number of corporations consolidated in this report,Number of Subs - not consolidated Number of Subsidiary Corporations - Not Consolidated Number of Subsidiary Corporations - Not consolidated Number of Subsidiaries Not Fully Consolidated     00072,70.0%
47,LIAB_CUR_LONG_BANK_LOAN_VAL,00310,Current portion of long-term debt - Loans from banks,Current Portion Long Term Debt-Banks 310 Current Portion Long Term Debt-Banks Current Portion Long Term Debt-Banks Current portion LT debt - Banks                   00310,69.7%
48,EIN_STAT,00022,Is the Employer Identification Number correct?,EI of corp Employer Identification Number Employer Identification Number Federal Employer Identification Number (EI)       00022,69.6%
49,CLOSING_DATE_MONTH,00021,Annual closing date of this corporation: Month,Closing date Closing date Closing date Annual closing date (MMDD)                        00021,69.6%
50,INCOM_EXPS_NOP_DBCRD2_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 2,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,69.6%
51,LIAB_CUR_OTH_LLOAN_EX_BND,00313,"Current portion of long-term debt - Other long-term loans, excluding bonds and debentures",Current Portion of Long Term Debt    313 Current Portion Long Term Debt-Other Current Portion Long Term Debt Current portion LT debt - other                   00313,69.4%
52,LIAB_CUR_LONG_BOND_LOAN_VAL,00311,Current portion of long-term debt - Bonds and debentures,Current Portion Long Term Debt-Bonds 311 Current Portion Long Term Debt-Bonds Current Portion Long Term Debt-Bonds Current portion LT debt - Bonds & debentures      00311,69.4%
53,INCOM_EXPS_NOP_DBCRD4_TXT,00110,Nonoperating income and expenses - principal debits and credits that contribute - Description - 4,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,69.3%
